Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Distance,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Class
44.3528,17.3022,2.8228,0.2421,0.1286,-53.742,13.1133,-9.5446,6.9645,220.4,X,Y,X,3A0OA29QMU,CYRZQ,g
33.5826,11.0346,2.7147,0.4301,0.2459,38.1995,29.6283,6.2741,27.015,143.936,T,R,V,99YDVLGRQC,F1X86,h
40.9114,11.8167,2.6528,0.4892,0.3062,7.0176,35.4742,5.3901,9.9994,117.8781,S,U,X,RQIVF03R75,00Z0Q,h
17.8476,10.4929,2.2742,0.6011,0.3537,20.8677,11.6185,-2.2703,43.7863,65.015,R,S,U,6W0HC1C64W,PDPTP,g
40.6978,30.7397,3.4551,0.1588,0.0805,39.9395,25.9621,8.9297,7.8862,127.078,Z,R,X,TPTF14C6CK,SNXVE,g
131.039,84.4568,3.8528,0.1023,0.0534,-18.8411,131.98,-57.5689,80.4261,340.23,Z,X,T,CWOZKNQW28,Z5OY8,h
28.1148,17.3168,2.6439,0.3246,0.1873,-2.1751,8.3358,10.8962,10.742,156.387,V,V,X,3WZ3E4IQK4,KL39O,g
12.8532,11.4032,2.0512,0.7289,0.4133,-15.047,8.0978,-9.812,77.209,149.455,Q,X,T,2NY8BA055P,BVJZ9,h
144.0302,41.8572,3.0351,0.3352,0.1741,-159.1788,81.0052,-22.6841,6.9217,335.5815,V,Z,X,35JNP2NFHU,LXKRV,h
97.7222,29.3071,3.8212,0.138,0.0863,-69.7415,76.7612,-8.0848,3.3807,270.704,Z,Y,Y,H2050GK3CE,OOQEJ,g
26.923,12.6794,2.708,0.4486,0.2458,22.8602,20.7103,-8.4173,33.1921,236.385,T,S,V,BAQFJ05NL6,ZKKWX,h
79.5573,32.6225,3.0504,0.2609,0.1527,56.9289,54.3854,-21.4948,1.0618,346.224,W,Q,Z,MLRSHEM8WN,IWIQG,g
27.435,17.3805,2.639,0.3559,0.217,-23.49,-18.7215,-8.0961,21.0606,63.1648,U,X,W,Z70YE5DJBX,P2JQN,g
19.6892,0.0,2.2109,0.7877,0.5692,0.1846,-3.6483,0.0,59.9239,120.092,Q,V,U,78FWMGGDQQ,B8TUU,g
164.6668,39.5132,2.9622,0.3701,0.2096,-152.9008,19.2538,-30.232,55.7371,307.237,U,Z,U,W09L0EQDBP,7BFC8,h
40.7146,13.4118,2.7214,0.3229,0.1643,36.0954,-11.5505,12.8412,63.5078,200.171,V,R,T,I37V5LJVXU,7GC2N,h
79.5528,44.9929,3.5488,0.1656,0.09,-39.6213,53.7866,-30.0054,15.8075,311.568,Y,Y,W,6VI9ZA301V,TQE14,h
97.5021,38.9376,4.0958,0.0947,0.0477,123.215,78.4556,7.3144,1.034,289.969,Z,Q,Z,9X8PECCQIF,F50IG,g
236.35,39.6522,3.6827,0.0949,0.0481,-225.291,-111.583,-21.9604,74.249,211.289,Z,Z,T,9Z4HBK9Y6D,L7YH1,h
53.5082,19.9123,3.2121,0.2283,0.123,60.3099,34.1822,8.1916,0.487,247.388,X,Q,Z,BTBZ6H0GS0,TM6FH,g
30.9994,13.5465,2.6004,0.3814,0.2171,39.586,24.7028,12.0246,53.453,71.1621,U,R,U,P308RQQRGJ,MPKF8,g
39.5291,14.6054,2.5465,0.3239,0.1889,-0.3041,-25.9866,-10.9995,48.5058,224.416,V,V,U,1UDQAY0IJ1,EK1IO,g
38.2245,28.3284,2.8648,0.2594,0.1536,11.8309,-21.6217,16.1872,10.5115,149.79399999999998,X,U,X,1EDWON85AW,6AU5B,g
58.4422,19.6955,2.4764,0.3806,0.1953,-44.1215,-59.4655,-18.4178,19.889,190.746,U,Y,W,MVZ0M3B05B,B4NEE,g
38.6861,14.6548,2.9038,0.2701,0.1405,8.6646,18.1322,20.6142,41.6313,214.7117,W,U,U,SC5GT8QX71,F447L,h
36.0465,17.6856,2.7903,0.2917,0.1645,-14.9419,18.6392,-13.8596,1.9542,104.142,W,X,Z,BBT48QO7DJ,461EN,g
187.255,62.7683,3.4443,0.1891,0.1055,-158.202,-152.611,-60.4727,44.665,240.98,Y,Z,U,9BSK06W983,57BG7,h
31.5877,21.6492,2.8007,0.2611,0.14,20.0599,19.0826,3.9342,27.155,117.891,W,S,V,5N91GMZVSC,XMGTY,g
185.738,27.0053,2.8998,0.5441,0.3797,-126.919,-188.579,-18.6711,2.507,361.465,S,Z,Z,EY7POR3NJI,8Q6O6,h
36.8034,19.8968,3.0206,0.2794,0.1588,35.5382,16.4042,13.4052,9.87,202.831,W,R,X,JGKI3PZURL,OPI00,g
19.4661,10.7874,2.3483,0.6099,0.352,7.8758,-17.1186,9.3704,14.3006,243.176,R,U,W,YMML5ZW9IZ,VNYAE,g
24.4754,11.5014,2.5139,0.5299,0.268,1.4743,11.1428,-11.6645,71.8009,155.909,S,V,T,J7Q8XTQ567,FPWYT,h
57.6274,21.8351,3.1316,0.1816,0.0844,13.6572,57.9148,-10.5458,15.9668,107.342,Y,T,W,VOW9EEEZ15,OIAG9,h
33.922,19.5203,2.6928,0.2738,0.145,-12.6419,-21.6683,8.6852,8.826,152.247,W,W,X,07NXHKAFRR,AZBNH,g
100.643,24.0109,3.4905,0.2095,0.1117,99.9048,100.515,17.9704,4.015,248.433,Y,Q,Y,6DNY8PT1FZ,V8HRY,g
30.6918,12.6259,2.5862,0.5665,0.3249,-8.1345,-17.6811,12.4427,22.6442,194.3028,R,W,W,A43MFCS6KU,4UFBT,h
75.5288,27.5869,3.1963,0.1401,0.0676,-98.3339,-37.9102,24.099,81.0645,179.2314,Z,Z,T,8J8JIVJC4R,ABQOY,h
24.6754,12.0523,2.5658,0.4348,0.2296,5.5282,10.1589,9.2972,15.901,140.02100000000002,T,U,W,9JTUK8ZCTU,P1OEM,g
91.2356,24.8769,2.6258,0.4402,0.2497,-39.2618,-95.4027,-14.1885,13.5704,169.30599999999998,T,Y,W,B0XHH55GQY,PC8U5,h
40.1086,26.9217,2.9841,0.247,0.1245,40.6746,34.4839,-21.3225,27.9324,208.4928,X,R,V,TK2M6CJFHT,KT982,h
156.9574,121.835,4.3815,0.0206,0.005,60.1705,102.2865,-35.9262,88.49799999999999,129.757,Z,Q,T,KFTV51TQ70,54LPO,h
25.9826,13.9899,2.6556,0.4243,0.2906,15.9402,8.8205,7.689,4.752,94.0805,T,T,Y,HOCQVGFB9V,8VYG0,g
19.9742,16.2989,2.5593,0.5103,0.28,24.4937,11.6297,-8.7452,8.793,182.308,S,S,X,72MXTCFB2C,3KRCV,g
39.1459,15.9192,2.5635,0.3497,0.2008,5.2531,-19.936,11.137,2.6191,201.986,V,U,Z,Y4WF86BC7S,9J431,g
58.6548,24.3642,3.4442,0.1553,0.0789,57.9854,48.6375,-12.2491,1.0525,254.674,Z,Q,Z,XFDR076D9L,89MGP,g
30.3114,16.0194,2.7493,0.4061,0.2199,-9.4305,13.4294,6.6856,18.0418,208.224,U,W,W,O8E2D71UZO,RLV2E,g
13.1359,10.339,2.1707,0.8105,0.396,-19.9577,-3.1469,-17.8402,11.358,119.5666,Q,X,X,50VQEBQ3OH,6DI5M,h
20.3846,11.4401,2.4065,0.6392,0.4569,12.5566,20.6341,-9.7762,32.858000000000004,242.61900000000003,R,T,V,02F9KOJHHR,79MPK,h
47.1049,11.2182,2.6246,0.3341,0.1915,2.5201,15.7807,-1.7044,70.5317,58.9963,V,V,T,L7RY4J7YM7,C0SR2,h
26.3044,9.7314,2.5581,0.5256,0.2697,4.1134,20.7233,7.8621,14.677,120.404,S,U,W,3V37P3RFWW,JP5FJ,h
42.169,19.9739,2.5139,0.3859,0.2251,-55.9897,-18.8351,-18.6789,5.1421,306.684,U,Y,Y,TCLZ9BQRTL,7UKI5,g
249.996,104.416,3.5453,0.1299,0.0657,-295.404,-174.45,-90.2463,10.3775,128.671,Z,Z,X,RYBH98AO7G,6ICJG,h
35.8412,16.5052,2.5132,0.4969,0.2623,17.0121,37.1243,-8.7592,9.1922,194.149,S,T,X,79M57LGHTR,B4UTO,g
18.9883,17.6937,2.5809,0.3963,0.2034,2.5736,-12.2754,14.5302,39.2377,119.5,U,V,V,APFI2SCFET,C2UI7,g
108.434,28.8188,3.832,0.1352,0.07,69.0505,99.7691,17.7249,0.2769999999999999,285.381,Z,Q,Z,6AKTLJ7Z4M,OQZPX,g
26.3733,19.1659,2.8567,0.3644,0.2246,14.4958,14.4997,-15.148,9.37,170.19299999999998,U,T,X,KTJ1UPHRYZ,QRXDT,g
